log_id,user_id,char_id,route_id,status,actual_profit,created_at
L00053,U0071,C002,R01,Completed,1875,2026-04-17 11:00:00
L00054,U0052,C004,R01,Completed,1724,2026-04-06 13:00:00
L00055,U0087,C004,R01,Completed,1724,2026-04-29 09:00:00
L00056,U0061,C001,R01,Completed,2250,2026-04-06 18:00:00
L00057,U0032,C004,R03,Completed,575,2026-04-13 19:00:00
L00058,U0039,C003,R03,Completed,525,2026-04-03 00:00:00
L00059,U0081,C003,R02,Completed,840,2026-04-28 02:00:00
L00060,U0017,C003,R03,Completed,525,2026-04-19 08:00:00
L00061,U0038,C002,R03,Completed,625,2026-04-28 21:00:00
L00062,U0010,C004,R03,Completed,575,2026-04-20 21:00:00
L00063,U0033,C004,R01,Completed,1724,2026-04-01 13:00:00
L00064,U0045,C003,R01,Completed,1575,2026-04-27 07:00:00
L00065,U0071,C002,R02,Completed,1000,2026-04-10 03:00:00
L00066,U0069,C001,R02,Completed,1200,2026-04-04 07:00:00
L00067,U0027,C004,R03,Completed,575,2026-04-13 16:00:00
L00068,U0007,C003,R01,Completed,1575,2026-04-24 21:00:00
L00069,U0035,C001,R01,Completed,2250,2026-04-19 16:00:00
L00070,U0014,C003,R03,Completed,525,2026-04-15 04:00:00
L00071,U0039,C002,R03,Completed,625,2026-04-25 23:00:00
L00072,U0015,C003,R01,Failed,0,2026-04-19 00:00:00
L00073,U0081,C001,R02,Completed,1200,2026-04-07 05:00:00
L00074,U0085,C003,R03,Completed,525,2026-04-10 20:00:00
L00075,U0054,C004,R02,Completed,919,2026-04-30 14:00:00
L00076,U0053,C002,R02,Completed,1000,2026-04-08 14:00:00
L00077,U0019,C002,R01,Completed,1875,2026-04-20 06:00:00
L00078,U0100,C004,R02,Completed,919,2026-04-18 12:00:00
L00079,U0056,C004,R01,Completed,1724,2026-04-17 07:00:00
L00080,U0060,C003,R03,Failed,0,2026-04-08 14:00:00
L00081,U0044,C001,R03,Failed,0,2026-04-08 03:00:00
L00082,U0040,C003,R02,Completed,840,2026-04-10 09:00:00
L00083,U0047,C002,R01,Completed,1875,2026-04-18 05:00:00
L00084,U0039,C003,R03,Completed,525,2026-04-23 13:00:00
L00085,U0099,C003,R03,Completed,525,2026-04-26 04:00:00
L00086,U0031,C002,R01,Completed,1875,2026-04-07 19:00:00
L00087,U0015,C003,R02,Completed,840,2026-04-29 13:00:00
L00088,U0078,C004,R03,Completed,575,2026-04-05 06:00:00
L00089,U0042,C001,R01,Failed,0,2026-04-02 01:00:00
L00090,U0092,C001,R02,Completed,1200,2026-04-01 08:00:00
L00091,U0027,C004,R02,Completed,919,2026-04-03 18:00:00
L00092,U0024,C003,R03,Completed,525,2026-04-01 00:00:00
L00093,U0074,C001,R01,Completed,2250,2026-04-11 01:00:00
L00094,U0095,C003,R03,Failed,0,2026-04-06 09:00:00
L00095,U0005,C002,R03,Completed,625,2026-04-14 20:00:00
L00096,U0039,C001,R01,Completed,2250,2026-04-26 11:00:00
L00097,U0007,C002,R02,Failed,0,2026-04-01 10:00:00
L00098,U0037,C004,R01,Completed,1724,2026-04-22 07:00:00
L00099,U0098,C001,R02,Completed,1200,2026-04-19 13:00:00
L00100,U0048,C004,R01,Completed,1724,2026-04-24 04:00:00
L00101,U0073,C004,R02,Completed,919,2026-04-05 08:00:00
L00102,U0096,C001,R01,Completed,2250,2026-04-11 13:00:00
L00103,U0021,C003,R03,Completed,525,2026-04-10 18:00:00
L00104,U0082,C002,R02,Completed,1000,2026-04-26 01:00:00
L00105,U0046,C003,R03,Completed,525,2026-04-10 19:00:00
L00106,U0049,C002,R03,Completed,625,2026-04-05 19:00:00
L00107,U0034,C003,R03,Completed,525,2026-04-08 12:00:00
L00108,U0084,C003,R03,Completed,525,2026-04-11 03:00:00
L00109,U0021,C003,R03,Completed,525,2026-04-29 19:00:00
L00110,U0001,C003,R02,Completed,840,2026-04-24 10:00:00
L00111,U0064,C004,R01,Completed,1724,2026-04-01 22:00:00
L00112,U0075,C002,R03,Completed,625,2026-04-27 08:00:00
L00113,U0056,C004,R02,Failed,0,2026-04-04 15:00:00
L00114,U0015,C001,R01,Completed,2250,2026-04-09 04:00:00
L00115,U0028,C002,R02,Completed,1000,2026-04-12 00:00:00
L00116,U0027,C003,R03,Completed,525,2026-04-23 18:00:00
L00117,U0045,C002,R03,Completed,625,2026-04-11 23:00:00
L00118,U0008,C004,R01,Failed,0,2026-04-09 13:00:00
L00119,U0064,C004,R03,Completed,575,2026-04-03 21:00:00
L00120,U0006,C003,R01,Failed,0,2026-04-11 03:00:00
L00121,U0055,C002,R01,Failed,0,2026-04-08 09:00:00
L00122,U0036,C002,R01,Completed,1875,2026-04-11 10:00:00
L00123,U0061,C001,R03,Completed,750,2026-04-13 04:00:00
L00124,U0021,C003,R01,Failed,0,2026-04-19 20:00:00
L00125,U0090,C002,R01,Completed,1875,2026-04-16 12:00:00
L00126,U0070,C004,R03,Completed,575,2026-04-12 19:00:00
L00127,U0067,C004,R01,Failed,0,2026-04-02 04:00:00
L00128,U0096,C001,R03,Completed,750,2026-04-20 02:00:00
L00129,U0039,C004,R02,Completed,919,2026-04-02 14:00:00
L00130,U0018,C003,R01,Completed,1575,2026-04-04 16:00:00
L00131,U0017,C002,R02,Completed,1000,2026-04-19 10:00:00
L00132,U0077,C004,R02,Completed,919,2026-04-10 17:00:00
L00133,U0015,C002,R01,Failed,0,2026-04-21 00:00:00
L00134,U0042,C003,R02,Completed,840,2026-04-24 03:00:00
L00135,U0050,C003,R02,Completed,840,2026-04-12 10:00:00
L00136,U0033,C003,R03,Failed,0,2026-04-13 06:00:00
L00137,U0010,C004,R01,Completed,1724,2026-04-25 11:00:00
L00138,U0034,C001,R02,Completed,1200,2026-04-20 11:00:00
L00139,U0031,C003,R03,Completed,525,2026-04-27 18:00:00
L00140,U0070,C003,R01,Completed,1575,2026-04-11 21:00:00
L00141,U0036,C003,R03,Failed,0,2026-04-26 02:00:00
L00142,U0077,C003,R02,Failed,0,2026-04-21 06:00:00
L00143,U0017,C001,R02,Completed,1200,2026-04-07 13:00:00
L00144,U0026,C004,R03,Completed,575,2026-04-27 12:00:00
L00145,U0006,C003,R03,Failed,0,2026-04-17 02:00:00
L00146,U0034,C002,R02,Failed,0,2026-04-03 04:00:00
L00147,U0079,C004,R02,Completed,919,2026-04-11 21:00:00
L00148,U0055,C004,R01,Completed,1724,2026-04-10 21:00:00
L00149,U0002,C002,R01,Completed,1875,2026-04-27 10:00:00
L00150,U0097,C002,R03,Completed,625,2026-04-21 13:00:00
L00151,U0054,C004,R02,Completed,919,2026-04-07 01:00:00
L00152,U0087,C004,R03,Failed,0,2026-04-17 22:00:00
L00153,U0013,C002,R02,Completed,1000,2026-04-01 00:00:00
L00154,U0055,C001,R03,Completed,750,2026-04-22 20:00:00
L00155,U0078,C003,R01,Completed,1575,2026-04-28 06:00:00
L00156,U0100,C001,R02,Completed,1200,2026-04-16 01:00:00
L00157,U0067,C004,R02,Completed,919,2026-04-06 17:00:00
L00158,U0035,C004,R02,Completed,919,2026-04-09 07:00:00
L00159,U0043,C001,R03,Failed,0,2026-04-08 13:00:00
L00160,U0014,C003,R01,Completed,1575,2026-04-09 07:00:00
L00161,U0088,C004,R01,Completed,1724,2026-04-08 14:00:00
L00162,U0084,C002,R02,Completed,1000,2026-04-30 16:00:00
L00163,U0044,C001,R01,Completed,2250,2026-04-06 10:00:00
L00164,U0020,C003,R02,Completed,840,2026-04-06 14:00:00
L00165,U0078,C001,R01,Completed,2250,2026-04-27 20:00:00
L00166,U0001,C001,R02,Completed,1200,2026-04-28 16:00:00
L00167,U0051,C001,R01,Completed,2250,2026-04-22 18:00:00
L00168,U0029,C004,R02,Failed,0,2026-04-24 10:00:00
L00169,U0057,C001,R02,Completed,1200,2026-04-24 19:00:00
L00170,U0078,C004,R02,Completed,919,2026-04-26 06:00:00
L00171,U0013,C004,R02,Completed,919,2026-04-13 09:00:00
L00172,U0068,C004,R03,Completed,575,2026-04-18 04:00:00
L00173,U0081,C001,R03,Failed,0,2026-04-11 06:00:00
L00174,U0072,C003,R03,Completed,525,2026-04-21 15:00:00
L00175,U0033,C003,R02,Completed,840,2026-04-30 07:00:00
L00176,U0046,C003,R02,Completed,840,2026-04-14 16:00:00
L00177,U0038,C004,R01,Completed,1724,2026-04-05 05:00:00
L00178,U0043,C001,R02,Completed,1200,2026-04-14 01:00:00
L00179,U0005,C004,R03,Completed,575,2026-04-12 20:00:00
L00180,U0033,C004,R01,Failed,0,2026-04-04 20:00:00
L00181,U0024,C001,R03,Failed,0,2026-04-23 15:00:00
L00182,U0009,C001,R03,Completed,750,2026-04-07 02:00:00
L00183,U0088,C003,R02,Completed,840,2026-04-15 19:00:00
L00184,U0014,C001,R03,Completed,750,2026-04-17 18:00:00
L00185,U0066,C002,R03,Failed,0,2026-04-12 03:00:00
L00186,U0042,C003,R03,Completed,525,2026-04-24 22:00:00
L00187,U0010,C002,R02,Completed,1000,2026-04-30 10:00:00
L00188,U0007,C003,R03,Failed,0,2026-04-26 07:00:00
L00189,U0058,C002,R01,Completed,1875,2026-04-22 11:00:00
L00190,U0027,C001,R03,Completed,750,2026-04-21 02:00:00
L00191,U0034,C003,R01,Completed,1575,2026-04-13 17:00:00
L00192,U0076,C002,R02,Completed,1000,2026-04-23 11:00:00
L00193,U0019,C002,R02,Completed,1000,2026-04-09 20:00:00
L00194,U0018,C003,R02,Completed,840,2026-04-30 04:00:00
L00195,U0100,C003,R02,Completed,840,2026-04-16 18:00:00
L00196,U0054,C001,R01,Completed,2250,2026-04-26 23:00:00
L00197,U0040,C002,R02,Completed,1000,2026-04-20 11:00:00
L00198,U0069,C004,R03,Completed,575,2026-04-24 19:00:00
L00199,U0031,C003,R03,Completed,525,2026-04-07 19:00:00
L00200,U0001,C002,R01,Completed,1875,2026-04-04 18:00:00
L00201,U0054,C001,R03,Completed,750,2026-04-06 01:00:00
L00202,U0031,C001,R02,Completed,1200,2026-04-02 19:00:00
L00203,U0065,C004,R01,Failed,0,2026-04-21 22:00:00
L00204,U0051,C002,R03,Completed,625,2026-04-25 04:00:00
L00205,U0094,C004,R02,Completed,919,2026-04-10 19:00:00
L00206,U0042,C002,R02,Completed,1000,2026-04-17 02:00:00
L00207,U0020,C004,R02,Completed,919,2026-04-25 13:00:00
L00208,U0020,C004,R03,Completed,575,2026-04-04 18:00:00
L00209,U0071,C002,R03,Completed,625,2026-04-01 15:00:00
L00210,U0034,C003,R02,Completed,840,2026-04-30 11:00:00
L00211,U0064,C001,R01,Completed,2250,2026-04-20 13:00:00
L00212,U0086,C002,R02,Failed,0,2026-04-01 14:00:00
L00213,U0030,C002,R01,Failed,0,2026-04-11 22:00:00
L00214,U0029,C003,R03,Completed,525,2026-04-15 07:00:00
L00215,U0085,C004,R01,Completed,1724,2026-04-30 09:00:00
L00216,U0020,C003,R03,Completed,525,2026-04-29 19:00:00
L00217,U0064,C004,R02,Completed,919,2026-04-06 19:00:00
L00218,U0022,C003,R01,Failed,0,2026-04-19 20:00:00
L00219,U0032,C004,R01,Completed,1724,2026-04-26 23:00:00
L00220,U0081,C001,R03,Completed,750,2026-04-11 09:00:00
L00221,U0021,C002,R03,Completed,625,2026-04-25 08:00:00
L00222,U0005,C004,R02,Completed,919,2026-04-27 06:00:00
L00223,U0007,C004,R03,Completed,575,2026-04-15 17:00:00
L00224,U0017,C004,R03,Completed,575,2026-04-11 23:00:00
L00225,U0033,C001,R01,Completed,2250,2026-04-28 16:00:00
L00226,U0010,C004,R03,Completed,575,2026-04-17 17:00:00
L00227,U0087,C002,R02,Completed,1000,2026-04-12 15:00:00
L00228,U0027,C002,R02,Completed,1000,2026-04-26 18:00:00
L00229,U0073,C004,R03,Completed,575,2026-04-09 18:00:00
L00230,U0004,C003,R01,Completed,1575,2026-04-11 05:00:00
L00231,U0059,C001,R02,Completed,1200,2026-04-27 23:00:00
L00232,U0053,C002,R03,Completed,625,2026-04-21 15:00:00
L00233,U0075,C003,R01,Completed,1575,2026-04-03 13:00:00
L00234,U0037,C003,R02,Failed,0,2026-04-06 18:00:00
L00235,U0008,C001,R02,Failed,0,2026-04-25 09:00:00
L00236,U0037,C002,R02,Completed,1000,2026-04-06 19:00:00
L00237,U0009,C001,R02,Completed,1200,2026-04-08 14:00:00
L00238,U0094,C002,R03,Completed,625,2026-04-15 17:00:00
L00239,U0027,C004,R01,Completed,1724,2026-04-02 13:00:00
L00240,U0078,C003,R03,Completed,525,2026-04-14 07:00:00
L00241,U0062,C003,R01,Failed,0,2026-04-07 08:00:00
L00242,U0042,C002,R03,Completed,625,2026-04-17 19:00:00
L00243,U0065,C002,R02,Completed,1000,2026-04-07 03:00:00
L00244,U0045,C004,R02,Completed,919,2026-04-19 11:00:00
L00245,U0021,C001,R01,Failed,0,2026-04-28 20:00:00
L00246,U0011,C002,R01,Completed,1875,2026-04-30 03:00:00
L00247,U0041,C004,R03,Completed,575,2026-04-28 23:00:00
L00248,U0036,C004,R01,Completed,1724,2026-04-28 22:00:00
L00249,U0045,C004,R02,Failed,0,2026-04-30 22:00:00
L00250,U0044,C004,R03,Completed,575,2026-04-19 21:00:00
L00251,U0090,C002,R03,Completed,625,2026-04-03 08:00:00
L00252,U0074,C002,R01,Completed,1875,2026-04-21 15:00:00
L00253,U0098,C001,R02,Completed,1200,2026-04-26 14:00:00
L00254,U0065,C004,R01,Completed,1724,2026-04-24 22:00:00
L00255,U0023,C001,R01,Completed,2250,2026-04-11 02:00:00
L00256,U0052,C003,R03,Completed,525,2026-04-01 15:00:00
L00257,U0068,C004,R01,Completed,1724,2026-04-10 09:00:00
L00258,U0018,C002,R01,Completed,1875,2026-04-04 10:00:00
L00259,U0032,C002,R01,Failed,0,2026-04-21 07:00:00
L00260,U0034,C001,R03,Completed,750,2026-04-01 08:00:00
L00261,U0077,C003,R03,Completed,525,2026-04-17 18:00:00
L00262,U0097,C001,R01,Completed,2250,2026-04-24 22:00:00
L00263,U0097,C004,R03,Completed,575,2026-04-29 23:00:00
L00264,U0082,C001,R02,Completed,1200,2026-04-19 11:00:00
L00265,U0043,C002,R03,Completed,625,2026-04-07 08:00:00
L00266,U0093,C002,R02,Failed,0,2026-04-08 07:00:00
L00267,U0019,C001,R03,Completed,750,2026-04-18 03:00:00
L00268,U0025,C003,R02,Completed,840,2026-04-25 10:00:00
L00269,U0036,C001,R02,Completed,1200,2026-04-15 12:00:00
L00270,U0087,C001,R01,Failed,0,2026-04-23 19:00:00
L00271,U0055,C004,R03,Completed,575,2026-04-17 23:00:00
L00272,U0085,C002,R03,Completed,625,2026-04-06 12:00:00
L00273,U0056,C001,R01,Completed,2250,2026-04-03 10:00:00
L00274,U0037,C004,R01,Completed,1724,2026-04-05 11:00:00
L00275,U0084,C003,R02,Completed,840,2026-04-25 10:00:00
L00276,U0068,C003,R03,Completed,525,2026-04-25 14:00:00
L00277,U0076,C003,R03,Completed,525,2026-04-08 07:00:00
L00278,U0090,C003,R01,Completed,1575,2026-04-12 12:00:00
L00279,U0037,C003,R01,Completed,1575,2026-04-26 17:00:00
L00280,U0043,C001,R01,Completed,2250,2026-04-15 18:00:00
L00281,U0073,C001,R02,Completed,1200,2026-04-21 07:00:00
L00282,U0072,C004,R03,Completed,575,2026-04-14 12:00:00
L00283,U0084,C001,R01,Completed,2250,2026-04-06 18:00:00
L00284,U0021,C003,R02,Completed,840,2026-04-17 11:00:00
L00285,U0086,C004,R02,Completed,919,2026-04-14 01:00:00
L00286,U0047,C001,R02,Failed,0,2026-04-06 18:00:00
L00287,U0009,C004,R02,Completed,919,2026-04-11 21:00:00
L00288,U0046,C002,R01,Completed,1875,2026-04-30 13:00:00
L00289,U0085,C003,R01,Completed,1575,2026-04-29 05:00:00
L00290,U0070,C001,R03,Completed,750,2026-04-29 10:00:00
L00291,U0048,C003,R02,Failed,0,2026-04-13 14:00:00
L00292,U0011,C003,R03,Completed,525,2026-04-02 19:00:00
L00293,U0065,C003,R02,Completed,840,2026-04-14 08:00:00
L00294,U0038,C004,R01,Failed,0,2026-04-17 12:00:00
L00295,U0081,C001,R01,Completed,2250,2026-04-02 00:00:00
L00296,U0087,C003,R03,Completed,525,2026-04-08 03:00:00
L00297,U0095,C002,R01,Completed,1875,2026-04-20 20:00:00
L00298,U0063,C003,R03,Completed,525,2026-04-19 05:00:00
L00299,U0075,C004,R02,Completed,919,2026-04-22 01:00:00
L00300,U0078,C002,R01,Completed,1875,2026-04-18 13:00:00
L00301,U0036,C004,R01,Completed,1724,2026-04-03 21:00:00
L00302,U0060,C004,R02,Completed,919,2026-04-02 10:00:00
L00303,U0010,C001,R02,Completed,1200,2026-04-17 04:00:00
L00304,U0050,C002,R02,Completed,1000,2026-04-26 13:00:00
L00305,U0085,C004,R02,Completed,919,2026-04-17 21:00:00
L00306,U0065,C003,R03,Completed,525,2026-04-06 08:00:00
L00307,U0024,C002,R01,Completed,1875,2026-04-21 22:00:00
L00308,U0021,C002,R02,Completed,1000,2026-04-28 01:00:00
L00309,U0030,C001,R02,Completed,1200,2026-04-18 19:00:00
L00310,U0096,C004,R01,Completed,1724,2026-04-07 18:00:00
L00311,U0021,C004,R01,Failed,0,2026-04-05 11:00:00
L00312,U0055,C001,R03,Completed,750,2026-04-05 17:00:00
L00313,U0022,C003,R01,Completed,1575,2026-04-11 01:00:00
L00314,U0014,C001,R03,Completed,750,2026-04-05 20:00:00
L00315,U0076,C001,R03,Completed,750,2026-04-13 08:00:00
L00316,U0054,C004,R02,Completed,919,2026-04-14 05:00:00
L00317,U0020,C001,R01,Completed,2250,2026-04-08 11:00:00
L00318,U0084,C004,R02,Completed,919,2026-04-20 18:00:00
L00319,U0065,C001,R03,Completed,750,2026-04-07 12:00:00
L00320,U0026,C001,R02,Completed,1200,2026-04-10 05:00:00
L00321,U0095,C004,R02,Completed,919,2026-04-08 23:00:00
L00322,U0094,C004,R02,Completed,919,2026-04-10 01:00:00
L00323,U0060,C001,R02,Completed,1200,2026-04-23 23:00:00
L00324,U0050,C001,R02,Completed,1200,2026-04-22 02:00:00
L00325,U0081,C001,R02,Completed,1200,2026-04-24 14:00:00
L00326,U0034,C002,R01,Completed,1875,2026-04-26 02:00:00
L00327,U0093,C004,R03,Completed,575,2026-04-04 23:00:00
L00328,U0077,C003,R01,Failed,0,2026-04-05 09:00:00
L00329,U0027,C004,R03,Completed,575,2026-04-30 04:00:00
L00330,U0031,C001,R03,Completed,750,2026-04-07 20:00:00
L00331,U0040,C001,R03,Failed,0,2026-04-05 08:00:00
L00332,U0083,C004,R02,Completed,919,2026-04-20 09:00:00
L00333,U0086,C003,R03,Completed,525,2026-04-29 04:00:00
L00334,U0003,C001,R01,Completed,2250,2026-04-20 12:00:00
L00335,U0047,C003,R01,Completed,1575,2026-04-20 20:00:00
L00336,U0080,C002,R03,Completed,625,2026-04-05 00:00:00
L00337,U0042,C003,R01,Completed,1575,2026-04-04 07:00:00
L00338,U0038,C004,R02,Completed,919,2026-04-21 23:00:00
L00339,U0057,C002,R02,Completed,1000,2026-04-11 17:00:00
L00340,U0090,C001,R03,Failed,0,2026-04-03 15:00:00
L00341,U0080,C001,R02,Completed,1200,2026-04-27 21:00:00
L00342,U0044,C001,R01,Completed,2250,2026-04-08 01:00:00
L00343,U0039,C002,R03,Completed,625,2026-04-15 13:00:00
L00344,U0057,C004,R02,Completed,919,2026-04-07 01:00:00
L00345,U0013,C004,R02,Completed,919,2026-04-09 12:00:00
L00346,U0022,C004,R01,Failed,0,2026-04-23 00:00:00
L00347,U0062,C003,R01,Completed,1575,2026-04-26 16:00:00
L00348,U0027,C004,R01,Failed,0,2026-04-18 00:00:00
L00349,U0035,C001,R02,Completed,1200,2026-04-28 15:00:00
L00350,U0033,C001,R02,Completed,1200,2026-04-27 23:00:00
L00351,U0067,C001,R02,Completed,1200,2026-04-11 05:00:00
L00352,U0097,C001,R03,Completed,750,2026-04-25 09:00:00
L00353,U0018,C003,R01,Completed,1575,2026-04-19 20:00:00
L00354,U0073,C002,R02,Completed,1000,2026-04-29 05:00:00
L00355,U0098,C002,R02,Completed,1000,2026-04-22 00:00:00
L00356,U0068,C003,R01,Completed,1575,2026-04-01 18:00:00
L00357,U0004,C003,R02,Failed,0,2026-04-30 21:00:00
L00358,U0068,C004,R03,Completed,575,2026-04-08 07:00:00
L00359,U0083,C001,R03,Failed,0,2026-04-03 21:00:00
L00360,U0071,C002,R03,Completed,625,2026-04-02 04:00:00
L00361,U0005,C003,R03,Completed,525,2026-04-06 07:00:00
L00362,U0020,C003,R03,Completed,525,2026-04-02 00:00:00
L00363,U0091,C004,R02,Completed,919,2026-04-23 09:00:00
L00364,U0032,C004,R02,Completed,919,2026-04-13 09:00:00
L00365,U0023,C002,R01,Completed,1875,2026-04-27 11:00:00
L00366,U0099,C003,R03,Completed,525,2026-04-05 09:00:00
L00367,U0001,C003,R01,Completed,1575,2026-04-04 17:00:00
L00368,U0012,C003,R03,Completed,525,2026-04-26 14:00:00
L00369,U0044,C003,R02,Completed,840,2026-04-19 10:00:00
L00370,U0076,C003,R03,Completed,525,2026-04-06 10:00:00
L00371,U0095,C004,R01,Completed,1724,2026-04-19 09:00:00
L00372,U0070,C002,R01,Completed,1875,2026-04-10 01:00:00
L00373,U0090,C002,R03,Completed,625,2026-04-06 06:00:00
L00374,U0048,C002,R01,Completed,1875,2026-04-17 11:00:00
L00375,U0092,C002,R02,Completed,1000,2026-04-01 12:00:00
L00376,U0015,C002,R03,Completed,625,2026-04-09 23:00:00
L00377,U0079,C004,R01,Completed,1724,2026-04-06 04:00:00
L00378,U0089,C002,R01,Completed,1875,2026-04-29 23:00:00
L00379,U0048,C001,R02,Completed,1200,2026-04-03 15:00:00
L00380,U0077,C004,R03,Completed,575,2026-04-26 19:00:00
L00381,U0076,C001,R03,Completed,750,2026-04-27 21:00:00
L00382,U0046,C004,R02,Completed,919,2026-04-24 13:00:00
L00383,U0039,C004,R03,Failed,0,2026-04-23 21:00:00
L00384,U0058,C001,R01,Completed,2250,2026-04-17 12:00:00
L00385,U0028,C004,R02,Completed,919,2026-04-16 01:00:00
L00386,U0092,C001,R01,Completed,2250,2026-04-26 23:00:00
L00387,U0043,C002,R01,Completed,1875,2026-04-08 19:00:00
L00388,U0072,C002,R01,Completed,1875,2026-04-27 00:00:00
L00389,U0095,C002,R03,Completed,625,2026-04-06 14:00:00
L00390,U0098,C002,R03,Completed,625,2026-04-17 08:00:00
L00391,U0058,C004,R02,Completed,919,2026-04-29 09:00:00
L00392,U0014,C001,R01,Completed,2250,2026-04-12 06:00:00
L00393,U0080,C004,R02,Failed,0,2026-04-30 01:00:00
L00394,U0084,C004,R02,Failed,0,2026-04-12 22:00:00
L00395,U0075,C002,R01,Completed,1875,2026-04-27 03:00:00
L00396,U0062,C004,R01,Failed,0,2026-04-20 13:00:00
L00397,U0003,C001,R03,Completed,750,2026-04-11 09:00:00
L00398,U0029,C003,R02,Completed,840,2026-04-06 04:00:00
L00399,U0083,C004,R02,Failed,0,2026-04-06 00:00:00
L00400,U0037,C002,R03,Completed,625,2026-04-16 21:00:00
L00401,U0025,C003,R01,Completed,1575,2026-04-21 16:00:00
L00402,U0032,C002,R02,Completed,1000,2026-04-05 07:00:00
L00403,U0009,C004,R02,Completed,919,2026-04-01 08:00:00
L00404,U0070,C003,R02,Completed,840,2026-04-11 01:00:00
L00405,U0088,C003,R03,Completed,525,2026-04-17 16:00:00
L00406,U0086,C003,R03,Completed,525,2026-04-25 04:00:00
L00407,U0087,C001,R02,Completed,1200,2026-04-23 20:00:00
L00408,U0022,C003,R03,Completed,525,2026-04-28 15:00:00
L00409,U0092,C004,R03,Completed,575,2026-04-08 05:00:00
L00410,U0040,C002,R03,Completed,625,2026-04-02 18:00:00
L00411,U0040,C001,R02,Completed,1200,2026-04-05 14:00:00
L00412,U0013,C003,R01,Failed,0,2026-04-22 03:00:00
L00413,U0008,C002,R03,Completed,625,2026-04-22 08:00:00
L00414,U0059,C004,R01,Completed,1724,2026-04-16 06:00:00
L00415,U0044,C002,R01,Completed,1875,2026-04-06 16:00:00
L00416,U0088,C001,R03,Completed,750,2026-04-01 17:00:00
